age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,previous,y,pdays_recod
39.0,unemployed,married,primary,0.0,1787.0,0.0,0.0,cellular,19.0,oct,79.0,1.0,0.0,0.0,0.0
33.0,services,married,secondary,0.0,4789.0,1.0,1.0,cellular,11.0,may,220.0,1.0,4.0,0.0,61.0
35.0,management,single,tertiary,0.0,1350.0,1.0,0.0,cellular,16.0,apr,185.0,1.0,1.0,0.0,70.0
30.0,management,married,tertiary,0.0,1476.0,1.0,1.0,cellular,3.0,jun,199.0,4.0,0.0,0.0,0.0
59.0,blue-collar,married,secondary,0.0,0.0,1.0,0.0,cellular,5.0,may,226.0,1.0,0.0,0.0,0.0
35.0,management,single,tertiary,0.0,747.0,0.0,0.0,cellular,23.0,feb,141.0,2.0,3.0,0.0,224.0
36.0,self-employed,married,tertiary,0.0,307.0,1.0,0.0,cellular,14.0,may,341.0,1.0,2.0,0.0,70.0
39.0,technician,married,secondary,0.0,147.0,1.0,0.0,cellular,6.0,may,151.0,2.0,0.0,0.0,0.0
39.0,entrepreneur,married,tertiary,0.0,221.0,1.0,0.0,cellular,14.0,may,57.0,2.0,0.0,0.0,0.0
43.0,services,married,primary,0.0,-88.0,1.0,1.0,cellular,17.0,apr,313.0,1.0,2.0,0.0,253.0
39.0,services,married,primary,0.0,9374.0,1.0,0.0,cellular,20.0,may,273.0,1.0,0.0,0.0,0.0
43.0,admin,married,secondary,0.0,462.0,1.0,0.0,cellular,17.0,apr,113.0,2.0,0.0,0.0,0.0
36.0,technician,married,tertiary,0.0,1109.0,0.0,0.0,cellular,13.0,aug,328.0,2.0,0.0,0.0,0.0
20.0,student,single,secondary,0.0,502.0,0.0,0.0,cellular,30.0,apr,261.0,1.0,0.0,1.0,0.0
31.0,blue-collar,married,secondary,0.0,360.0,1.0,1.0,cellular,29.0,jan,89.0,1.0,1.0,0.0,0.0
40.0,management,married,tertiary,0.0,194.0,0.0,1.0,cellular,29.0,aug,189.0,2.0,0.0,0.0,0.0
56.0,technician,married,secondary,0.0,4073.0,0.0,0.0,cellular,27.0,aug,239.0,5.0,0.0,0.0,0.0
39.0,admin,single,tertiary,0.0,2317.0,1.0,0.0,cellular,20.0,apr,114.0,2.0,2.0,0.0,0.0
25.0,blue-collar,single,primary,0.0,-221.0,1.0,0.0,cellular,23.0,may,250.0,1.0,0.0,0.0,0.0
31.0,services,married,secondary,0.0,132.0,0.0,0.0,cellular,7.0,jul,148.0,1.0,1.0,0.0,0.0
38.0,management,divorced,tertiary,0.0,0.0,1.0,0.0,cellular,18.0,nov,96.0,2.0,0.0,0.0,0.0
42.0,management,divorced,tertiary,0.0,16.0,0.0,0.0,cellular,19.0,nov,140.0,3.0,0.0,0.0,0.0
44.0,services,single,secondary,0.0,106.0,1.0,0.0,cellular,12.0,jun,183.0,2.0,0.0,0.0,0.0
39.0,entrepreneur,married,secondary,0.0,93.0,0.0,0.0,cellular,7.0,jul,125.0,2.0,0.0,0.0,0.0
26.0,housemaid,married,tertiary,0.0,543.0,0.0,0.0,cellular,30.0,jan,169.0,3.0,0.0,0.0,0.0
41.0,management,married,tertiary,0.0,5883.0,0.0,0.0,cellular,20.0,nov,182.0,2.0,0.0,0.0,0.0
67.0,retired,married,secondary,0.0,696.0,0.0,0.0,telephone,17.0,aug,119.0,1.0,2.0,0.0,0.0
56.0,self-employed,married,secondary,0.0,784.0,0.0,1.0,cellular,30.0,jul,149.0,2.0,0.0,0.0,0.0
39.0,admin,married,secondary,0.0,105.0,0.0,1.0,cellular,21.0,aug,74.0,2.0,0.0,0.0,0.0
68.0,retired,divorced,secondary,0.0,4189.0,0.0,0.0,telephone,14.0,jul,897.0,2.0,0.0,1.0,0.0
31.0,technician,married,secondary,0.0,171.0,0.0,0.0,cellular,27.0,aug,81.0,3.0,0.0,0.0,0.0
39.0,management,single,tertiary,0.0,2536.0,1.0,0.0,cellular,26.0,aug,958.0,6.0,0.0,1.0,0.0
49.0,technician,married,tertiary,0.0,1235.0,0.0,0.0,cellular,13.0,aug,354.0,3.0,0.0,1.0,0.0
42.0,admin,divorced,secondary,0.0,1811.0,1.0,0.0,cellular,14.0,may,150.0,1.0,0.0,0.0,0.0
32.0,blue-collar,married,secondary,0.0,2089.0,1.0,0.0,cellular,14.0,nov,132.0,1.0,0.0,1.0,0.0
33.0,management,married,secondary,0.0,3935.0,1.0,0.0,cellular,6.0,may,765.0,1.0,2.0,1.0,58.0
23.0,services,single,tertiary,0.0,363.0,1.0,0.0,cellular,30.0,may,16.0,2.0,0.0,0.0,0.0
